road_width(m),number_of_floor,number_of_bedroom,area(m2),address,price(vnd)
2m,2 lầu,2 phòng ngủ, 23 m2,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng",4 triệu 
4m,5 lầu,6 phòng ngủ, 82 m2,"Phường Nam Dương, Quận Hải Châu, Đà Nẵng",30 triệu 
15m,3 lầu,3 phòng ngủ, 110 m2,"Đường Hồ Xuân Hương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","13,5 triệu "
5m,3 lầu,4 phòng ngủ, 60 m2,"Đường Đa Mặn Đông 4, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",6 triệu 
4m,1 lầu,1 phòng ngủ, 65 m2,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",5 triệu 
5m,1 lầu,2 phòng ngủ, 50 m2,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",5 triệu 
4m,1 lầu,2 phòng ngủ, 86 m2,"Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",5 triệu 
3m,1 lầu,2 phòng ngủ, 60 m2,"Đường Huỳnh Ngọc Huệ, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",8 triệu 
6m,2 lầu,3 phòng ngủ, 80 m2,"Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",8 triệu 
4m,3 lầu,2 phòng ngủ, 65 m2,"Đường Bàu Năng 11, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",5 triệu 
7m,3 lầu,3 phòng ngủ, 70 m2,"Đường Ngô Thì Nhậm, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",8 triệu 
3m,2 lầu,2 phòng ngủ, 60 m2,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",4 triệu 
3m,2 lầu,3 phòng ngủ, 80 m2,"Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",10 triệu 
